Title,Author,Type of Ban,State,District,Date of Challenge/Removal
Me and Earl and the Dying Girl,"Andrews, Jesse",Banned in Libraries and Classrooms,Florida,Indian River County School District,November 2021
Me and Earl and the Dying Girl,"Andrews, Jesse",Banned Pending Investigation,Florida,Osceola County School District,April 2022
Me and Earl and the Dying Girl,"Andrews, Jesse",Banned in Libraries and Classrooms,Georgia,Forsyth County Schools,January 2022
Me and Earl and the Dying Girl,"Andrews, Jesse",Banned in Libraries,Iowa,Ankeny Community School District,November 2021
Me and Earl and the Dying Girl,"Andrews, Jesse",Banned Pending Investigation,Pennsylvania,Downingtown Area School District,October 2021
Me and Earl and the Dying Girl,"Andrews, Jesse",Banned Pending Investigation,Pennsylvania,Elizabethtown Area School District,April 2022
Me and Earl and the Dying Girl,"Andrews, Jesse",Banned in Libraries,Tennessee,Blount County Schools,November 2021
Me and Earl and the Dying Girl,"Andrews, Jesse",Banned in Libraries,Texas,Cypress-Fairbanks Independent School District,January 2022
Me and Earl and the Dying Girl,"Andrews, Jesse",Banned in Libraries and Classrooms,Texas,Fredericksburg Independent School District,March 2022
Me and Earl and the Dying Girl,"Andrews, Jesse",Banned Pending Investigation,Texas,Granbury Independent School District,January 2022
Me and Earl and the Dying Girl,"Andrews, Jesse",Banned in Libraries and Classrooms,Texas,Katy Independent School District,November 2021
Me and Earl and the Dying Girl,"Andrews, Jesse",Banned in Libraries,Texas,Keller Independent School District,November 2021
Me and Earl and the Dying Girl,"Andrews, Jesse",Banned Pending Investigation,Texas,Lamar Consolidated Independent School District,December 2021
Me and Earl and the Dying Girl,"Andrews, Jesse",Banned Pending Investigation,Texas,North East Independent School District,December 2021
The Perks of Being a Wallflower,"Chbosky, Stephen",Banned Pending Investigation,Florida,Brevard Public Schools,May 2022
The Perks of Being a Wallflower,"Chbosky, Stephen",Banned Pending Investigation,Florida,Indian River County School District,November 2021
The Perks of Being a Wallflower,"Chbosky, Stephen",Banned in Libraries and Classrooms,Idaho,Nampa School District,May 2022
The Perks of Being a Wallflower,"Chbosky, Stephen",Banned Pending Investigation,Kansas,Goddard Public Schools,November 2021
